0,00079172	1,072E-01	5,248E-07	4,723E-06	1,932E-02	1,739E-01	7,144E-05	6,429E-04	1,781E-03	2,112E-01	2,681E-06	2,681E-05	2,9458E-02	2,4510E-01	2,3170E-06	2,0853E-05	3,164E-02	2,122E+00	1,540E-04	1,848E-03	9,1066E-03	2,2243E+01	3,4686E-04	3,1218E-03	8,412E-04	1,452E+01	1,435E-04	1,292E-03
3,959E-03	5,358E-01	2,624E-06	2,361E-05	9,661E-02	8,695E-01	3,572E-04	3,215E-03	8,903E-03	1,056E+00	1,341E-05	1,341E-04	1,4729E-01	1,2255E+00	1,1585E-05	1,0426E-04	1,582E-01	1,061E+01	7,701E-04	9,241E-03	4,5533E-02	1,1122E+02	1,7343E-03	1,5609E-02	4,206E-03	7,262E+01	7,176E-04	6,459E-03
7,917E-03	1,072E+00	5,248E-06	4,723E-05	1,932E-01	1,739E+00	7,144E-04	6,429E-03	1,781E-02	2,112E+00	2,681E-05	2,681E-04	2,9458E-01	2,4510E+00	2,3170E-05	2,0853E-04	3,164E-01	2,122E+01	1,540E-03	1,848E-02	9,1066E-02	2,2243E+02	3,4686E-03	3,1218E-02	8,412E-03	1,452E+02	1,435E-03	1,292E-02
1,583E-02	2,143E+00	1,050E-05	9,446E-05	3,864E-01	3,478E+00	1,429E-03	1,286E-02	3,561E-02	4,223E+00	5,362E-05	5,362E-04	5,8916E-01	4,9020E+00	4,6339E-05	4,1705E-04	6,328E-01	4,244E+01	3,080E-03	3,696E-02	1,8213E-01	4,4486E+02	6,9373E-03	6,2435E-02	1,682E-02	2,905E+02	2,871E-03	2,583E-02
2,375E-02	3,215E+00	1,574E-05	1,417E-04	5,797E-01	5,217E+00	2,143E-03	1,929E-02	5,342E-02	6,335E+00	8,043E-05	8,043E-04	8,8375E-01	7,3530E+00	6,9509E-05	6,2558E-04	9,493E-01	6,367E+01	4,620E-03	5,544E-02	2,7320E-01	6,6729E+02	1,0406E-02	9,3653E-02	2,524E-02	4,357E+02	4,306E-03	3,875E-02
3,167E-02	4,286E+00	2,099E-05	1,889E-04	7,729E-01	6,956E+00	2,857E-03	2,572E-02	7,122E-02	8,447E+00	1,072E-04	1,072E-03	1,1783E+00	9,8040E+00	9,2679E-05	8,3411E-04	1,266E+00	8,489E+01	6,160E-03	7,393E-02	3,6426E-01	8,8972E+02	1,3875E-02	1,2487E-01	3,365E-02	5,810E+02	5,741E-03	5,167E-02
3,959E-02	5,358E+00	2,624E-05	2,361E-04	9,661E-01	8,695E+00	3,572E-03	3,215E-02	8,903E-02	1,056E+01	1,341E-04	1,341E-03	1,4729E+00	1,2255E+01	1,1585E-04	1,0426E-03	1,582E+00	1,061E+02	7,701E-03	9,241E-02	4,5533E-01	1,1099E+03	1,7352E-02	1,5617E-01	4,206E-02	7,262E+02	7,176E-03	6,459E-02
4,750E-02	6,429E+00	3,149E-05	2,834E-04	1,159E+00	1,043E+01	4,286E-03	3,858E-02	1,068E-01	1,267E+01	1,609E-04	1,609E-03	1,7675E+00	1,4706E+01	1,3902E-04	1,2512E-03	1,899E+00	1,273E+02	9,241E-03	1,109E-01	5,4646E-01	1,1104E+03	2,0916E-02	1,8825E-01	5,047E-02	8,715E+02	8,612E-03	7,750E-02
5,542E-02	7,501E+00	3,673E-05	3,306E-04	1,353E+00	1,217E+01	5,000E-03	4,500E-02	1,246E-01	1,478E+01	1,877E-04	1,877E-03	2,0621E+00	1,7157E+01	1,6219E-04	1,4597E-03	2,215E+00	1,486E+02	1,437E-02	1,294E-01	6,3937E-01	1,1435E+03	2,4573E-02	2,2115E-01	5,889E-02	7,779E+02	1,005E-02	9,042E-02
6,334E-02	8,573E+00	4,198E-05	3,778E-04	1,546E+00	1,391E+01	5,715E-03	5,143E-02	1,425E-01	1,689E+01	2,145E-04	2,145E-03	2,3567E+00	1,9608E+01	1,8536E-04	1,6682E-03	2,531E+00	1,698E+02	1,643E-02	1,479E-01	7,3766E-01	1,2210E+03	2,8905E-02	2,6014E-01	6,731E-02	8,900E+02	1,148E-02	1,033E-01
